name,price,rating,category,features
Hitachi RAS.E318PCAIBS 1.5 Ton 3 Star 2023 Inverter Split AC,"₹39,390",--rating: 4.75;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
O General ASGG12CPAA-B 1 Ton 3 Star 2023 Inverter Split AC,"₹37,990",--rating: 4.45;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '3 Star Rating']"
Hitachi RAS.G318PCAISF 1.5 Ton 3 Star 2023 Inverter Split AC,"₹37,350",--rating: 4.3;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.G518PCAISF 1.5 Ton 5 Star 2023 Inverter Split AC,"₹41,850",--rating: 4.7;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.G512PCAISF 1 Ton 5 Star 2023 Inverter Split AC,"₹35,991",--rating: 4.2;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.G312PCAISF 1 Ton 3 Star 2023 Inverter Split AC,"₹33,342",--rating: 4.75;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.V322PCAIBHE 1.8 Ton 3 Star 2023 Inverter Split AC,"₹59,866",--rating: 4.2;,AC,"['Split AC', '1.8 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.G312PCAIBFE 1 Ton 3 Star 2023 Inverter Split AC,"₹29,136",--rating: 4;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.G322PCAIBFE 1.8 Ton 3 Star 2023 Inverter Split AC,"₹57,925",--rating: 4.55;,AC,"['Split AC', '1.8 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Hitachi RAS.V422PCAIBHE 1.8 Ton 4 Star 2023 Inverter Split AC,"₹39,990",--rating: 4.4;,AC,"['Split AC', '1.8 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
